Titulo,Autor,Fecha,Link,Introduccion
"Entre Zapata y Salazar, eventual próxima presidenta del Congreso",Oscar K. Bermúdez,"8 agosto, 2023",https://laparadadigital.com/entre-zapata-y-salazar-eventual-proxima-presidenta-del-congreso/,"Noticias de Chihuahua.- Entre las diputadas del Partido Revolucionario Institucional, PRI, Georgina Zapata Lucero e Ivonne Salazar Morales, está la próxima presidenta del Congreso del Estado, ya que le corresponde a esta fuerza política el presidir el tercer año de labores. Así lo dijo la actual presidenta del Congreso Adriana Terrazas Porras, al asistir a"
Una nueva escuela mexicana podría incidir en cifras de suicidios: diputado,Oscar K. Bermúdez,"8 agosto, 2023",https://laparadadigital.com/una-nueva-escuela-mexicana-podria-incidir-en-cifras-de-suicidios-diputado/,"Noticias de Chihuahua.- Para el diputado de Morena Oscar Avitia el tener una nueva escuela mexicana en México, en la que a través de los nuevos libros de texto inciden en que las personas se acepten y acepten a los demás como son, podría incidir en una disminución de los casos de suicidios que se"
EN VIVO: Se enfrentan asaltantes y custodios por robo de camión de valores en Alsuper,Iván C,"8 agosto, 2023",https://laparadadigital.com/se-enfrentan-asaltantes-y-custodios-por-robo-de-camion-de-valores-en-alsuper/,"Noticias de Chihuahua.- Hombres fuertemente armados trataron de asesinar a los custodios de un camión de valores que estaban retirando o colocando dinero en la tienda Alsuper en el Periferico R. Almada y Nueva España. Los hombres al parecer venían detras del camión de valores y posteriormente ingresaron junto con ellos, luego sacaron sus armas"
Entran Los 300 a limpiar el Cereso 3,Iván C,"8 agosto, 2023",https://laparadadigital.com/entran-los-300-a-limpiar-el-cereso-3/,"Noticias de Chihuahua.- El penal estatal número 3 ubicado en Ciudad Juárez, fue revisado por 900 elementos entre policías, soldados y personal de la Guardia Nacional, quienes hallaron decenas de armas punzo cortantes hechizas, porciones de droga y una televisión. La Secretaría de Seguridad Pública del Estado informó que fueron 300 efectivos de esa corporación,"
¡Aguas! En Alsuper hacen cobros fantasmas,Iván C,"8 agosto, 2023",https://laparadadigital.com/aguas-en-alsuper-hacen-cobros-fantasmas/,"Noticias de Chihuahua.- Una alerta se lanzó en las redes sociales debido a un supuesto cobro que se hizo en una tienda Alsuper, en Delicias. “Chequen todos sus tiket de alsuper en el estado la están aplicando aparte de redondeo te cobran un porcentaje más es su sistema alterado”, dice el mensaje que se publicó"
Primero le roban y ahora intentan extorsionarla,Iván C,"8 agosto, 2023",https://laparadadigital.com/primero-le-roban-y-ahora-intentan-extorsionarla/,"Noticias de Chihuahua.-Una mujer reportó a la Policía Municipal de Cuauhtémoc que encontró en la puerta de su casa una hoja con un mensaje en el que le exigen 10 mil pesos a cambio de no causarle daño. La Policía Seccional de Anáhuac, atendió este reporte ayer en la mañana y la quejosa, de 38"
Bebé cuidaba a sus padres ebrios y dormidos,Iván C,"8 agosto, 2023",https://laparadadigital.com/bebe-cuidaba-a-sus-padres-ebrios-y-dormidos/,"Noticias de Chihuahua.-Un bebé de aproximadamente 8 meses de edad, fue asegurado por agentes municipales en Cuauhtémoc, ya que lo encontraron junto a sus padres ebrios y dormidos. Una ciudadana llamó al sistema de emergencias 911 para reportar a una pareja en estado de ebriedad, con un bebé que vestía mameluco en color blanco. La"
Auto le pega por detrás a ciclista y lo mata,Oscar K. Bermúdez,"7 agosto, 2023",https://laparadadigital.com/auto-le-pega-por-detras-a-ciclista-y-lo-mata/,"Noticias de Chihuahua.- Un ciclista murió al ser embestido por un vehículo en el periférico Francisco R. Almada. El fatal accidente sucedió esta noche, a la altura de la calle 38. El auto no se detuvo tras el impacto pero al parecer metros adelante fue detenido por un oficial de la Policía Vial, quien se"
Dejan cuerpo embolsado en la carretera a Juárez,Oscar K. Bermúdez,"7 agosto, 2023",https://laparadadigital.com/dejan-cuerpo-embolsado-en-la-carretera-a-juarez/,"Noticias de Chihuahua.- Un hombre sin vida fue hallado en estado de descomposición envuelto en bolsas de plástico, a un lado de la carretera a Juárez. El cuerpo estaba a la altura del kilómetro 324 hasta donde llegaron policías del estado y personal de la fiscalía. Los agentes que estuvieron en el lugar solo alcanzaron"
Suman más de 40 homicidios en tan sólo 7 días,Iván C,"7 agosto, 2023",https://laparadadigital.com/suman-mas-de-40-homicidios-en-tan-solo-7-dias/,"Noticias de Chihuahua.- Dentro de los primeros 7 días del mes de agosto, un total de 41 personas han sido asesinadas en el estado de Chihuahua, al mero estilo del crimen organizado la mayoría. La mayoría de los homicidios tienen registro en Ciudad Juárez, seguido de Chihuahua y el resto de los municipios, entre ellos"
"Ante fracasos en la SSPE, Gilberto Loya renuncia, pero…",Staff,"7 agosto, 2023",https://laparadadigital.com/ante-fracasos-en-la-sspe-gilberto-loya-renuncia-pero/,"Noticias de Chihuahua.-  El Ingeniero en Electromecánica, Gilberto Loya Chávez, le renunció a la gobernadora Maru Campos como secretario de Seguridad Pública Estatal esta mañana tras una reunión de seguridad en Palacio de Gobierno. Fuentes de la misma SSPE indican que tras señalarle los fracasos que tiene Loya al frente de la SSPE, y de"
Atoran a 3 en Cuauhtémoc con cristal,Staff,"7 agosto, 2023",https://laparadadigital.com/atoran-a-3-en-cuauhtemoc-con-cristal/,"Noticias de Chihuahua.- Dos mujeres y un hombre fueron detenidos en Ciudad Cuauhtémoc, en posesión de 342 gramos de cristal. La detención la hicieron elementos que integran la célula Bases de Operaciones Interinstitucionales, a las 04:30 horas de hoy, en calles Batopilas y Matachí, en la colonia Basaseachi. Los detenidos fueron identificados como Juan Carlos"
Se contrapone cartelera de Expogan a prohibición de Cabildo,Staff,"7 agosto, 2023",https://laparadadigital.com/se-contrapone-cartelera-de-expogan-a-prohibicion-de-cabildo/,"Noticias de Chihuahua.– A pesar de la reciente prohibición que aprobó el Cabildo de Chihuahua para que en el municipio no se toque música que denigre a las mujeres y exalte a criminales, como el reggaetón y los llamados narcocorridos, la cartelera del Expogan 2023 incluye a su mayoría a cantantes relacionados con este tipo"
Cae baby-banda de roba motos,Staff,"7 agosto, 2023",https://laparadadigital.com/cae-baby-banda-de-roba-motos/,"Noticias de Chihuahua.- Tres menores de edad y un joven de 20 años, quienes formaban una banda de presuntos roba motos, fueron detenidos, informó la Policía Municipal. Fue el pasado fin de semana en la colonia Los Girasoles, donde los policías preventivos con apoyo de la fiscalía lograron detener a los cuatro presuntos ladrones, quienes"
Propone diputada ampliar medidas de protección para víctimas,Staff,"7 agosto, 2023",https://laparadadigital.com/propone-diputada-ampliar-medidas-de-proteccion-para-victimas/,"Noticias de Chihuahua.- En la única iniciativa enlistada en el orden del día de la sesión de hoy, la diputada del Partido Revolucionario Institucional Ana Georgina Zapata Lucero propuso reformar diversas disposiciones de la Ley Estatal del Derecho de las Mujeres a una Vida Libre de Violencia, en materia de órdenes de protección, para hacerlas"
¿Qué se viene? Sostienen tres reuniones de seguridad en Palacio de Gobierno y Municipal,Iván C,"7 agosto, 2023",https://laparadadigital.com/que-se-viene-sostienen-tres-reuniones-de-seguridad-en-palacio-de-gobierno-y-municipal/,"Noticias de Chihuahua.- En Palacio de Gobierno desde temprana hora se han realizado reuniones de seguridad simultaneas en la Presidencia Municipal y Palacio de Gobierno, esto tiene que ver con el repunte de ejecuciones y hechos violentos en los primeros días de agosto. En la reunión de la Presidencia Municipal están reunidas autoridades de la"
"Va PAN contra ex diputado traidor, ‘es un proceso natural’",Staff,"7 agosto, 2023",https://laparadadigital.com/va-pan-contra-ex-diputado-traidor-es-un-proceso-natural/,"Noticias de Chihuahua.- Si bien reconoció la libertad de cada persona en hacer lo que así decide, el presidente del Comité Directivo Estatal del Partido Acción Nacional, PAN, Gabriel Díaz dijo que la decisión del ex diputado panista Miguel La Torre deberá seguir un proceso natural, según corresponde a los estatutos del propio partido. “Él"
"No vamos a permitir la ideologización, dicen panistas sobre libros de texto",Staff,"7 agosto, 2023",https://laparadadigital.com/no-vamos-a-permitir-la-ideologizacion-dicen-panistas-sobre-libros-de-texto/,"Noticias de Chihuahua, Chih.- Acompañado por el presidente del Comité Directivo Estatal del Partido Acción Nacional Gabriel Díaz, PAN, el coordinador del grupo parlamentario panista Alfredo Chávez informó este lunes que se van a sumar a las acciones en contra de los nuevos libros de texto con amparos personales, y apoyando a las familias que"
Salvan bomberos vivienda de abuelito en el Barrio de Londres,Iván C,"7 agosto, 2023",https://laparadadigital.com/savlan-bomberos-vivienda-de-abuelito-en-el-barrio-de-londres/,"Noticias de Chihuahua.- Elementos del Cuerpo de Bomberos sofocaron esta mañana un fuerte incendio que se registró en la vivienda de un abuelito en calles del Barrio de Londres del sur de la ciudad. Los hechos se registraron sobre las calles Méndez y 37 en el interior de una vivienda, el fuego tomó gran fuerza"
Caen sicarios de La Empresa por ejecución del policía estatal,Iván C,"7 agosto, 2023",https://laparadadigital.com/caen-sicarios-de-la-empresa-por-ejecucion-del-policia-estatal/,"Noticias de Chihuahua.- Sicarios del grupo criminal “La Empresa”, fueron detenidos como responsables de asesinar al agente de la Secretaría de Seguridad Pública Estatal Sergio Martínez González. En rueda de prensa, el secretario de Seguridad Pública Estatal, quien detalló que a través de operativos simultáneos se lograron las detenciones de los tres sicarios, quienes anteriormente"
Pegan asaltantes en tsurito,Staff,"7 agosto, 2023",https://laparadadigital.com/pegan-asaltantes-en-tsurito/,"Noticias de Chihuahua.- Un par de asaltantes se apoderaron de poco más de mil pesos ayer en la noche, al atracar a un joven en la colonia Plan de Ayala. Los ladrones portaban armas punzo cortantes que utilizaron para amagar a la víctima en el periférico Francisco R. Almada y calle 29. La víctima del"
Apuñala por la espalda a su amigo,Iván C,"7 agosto, 2023",https://laparadadigital.com/apunala-por-la-espalda-a-su-amigo/,"Noticias de Chihuahua.- Durante la madrugada de hoy se registró una fuerte discusión entre dos “amigos” la cual termino a fierrazos, que dejó como resultado a uno de ellos gravemente lesionado, esto en la colonia Raymundo López. De acuerdo a los primeros reportes, dos jóvenes mantenían una discusión en la vía pública en la calle"
Regresa onda de calor para hoy; estaremos a los 39 grados por la tarde,Iván C,"7 agosto, 2023",https://laparadadigital.com/regresa-onda-de-calor-para-hoy-estaremos-a-los-39-grados-por-la-tarde/,"Noticias de Chihuahua. – Este lunes se registró una temperatura mínima de los 24 grados centígrados y para hoy por la tarde hay pronósticos de una máxima de los 39 grados con un cielo mayormente soleado, así como nubosidad en la noche. Para este día las posibilidades de lluvias de acuerdo a los sistemas meteorológicos"
Les apagaron la fiesta rive a más de 20 ‘niños’ ebrios,Staff,"7 agosto, 2023",https://laparadadigital.com/les-apagaron-la-fiesta-rive-a-mas-de-20-ninos-ebrios/,"Noticias de Chihuahua.-  Tremendo escándalo traía alrededor de 20 menores de edad en una fiesta rave, siendo denunciados por los vecinos mayores de 30 años que no soporta el ruido. Por ello, acudieron elementos municipales para apagarles la fiesta escandalosa en en la colonia Nuevo Hipódromo, en Ciudad Juárez. En el reporte policiaco se indica"
Identifican a las mujeres ejecutadas en carretera a Satevo; hay un sobreviviente,Iván C,"6 agosto, 2023",https://laparadadigital.com/identifican-a-las-mujeres-ejecutadas-en-carretera-a-satevo-hay-un-sobreviviente/,"Noticias de Chihuahua. – De manera extraoficial fueron identificadas las dos mujeres que asesinaron durante un ataque armado en la carretera de Satevo a la altura de San José del Sitio, luego de que regresaran de una quinceañera. La primera víctima fue identidad como Nohelia Fernández Solís de 38 años de edad, quien de manera"
Abandonan auto con cuerpo encobijado,Staff,"6 agosto, 2023",https://laparadadigital.com/abandonan-auto-con-cuerpo-encobijado/,"Noticias de Chihuahua.- Una persona fue hallada sin vida envuelta en cobijas, dentro de un carro abandonado en la carretera Samalayuca a San Gerónimo. El carro en el que se encontró el cuerpo es de la marca Nissan, línea Versa color gris, de modelo reciente. El cadáver se encontraba en estado de descomposición, en el"
De dan «Guardias Ferromex» brutal paliza a hombre en la Aeropuerto,Iván C,"6 agosto, 2023",https://laparadadigital.com/de-dan-guardias-ferromex-brutal-paliza-a-hombre-en-la-aeropuerto/,"Noticias de Chihuahua.- Vecinos de la colonia Aeropuerto alertaron a la policía sobre la presencia de un hombre asesinado cerca de las vías del ferrocarril, por lo que agentes uniformados acudieron hasta las calles Primera y 57 donde. En plena vía pública, los agentes localizaron al hombre, quien no estaba muerto, presentaba golpes de consideración"
VIDEO: Se dan abogados un round en la Junta Local de Conciliación y Arbitraje,Staff,"6 agosto, 2023",https://laparadadigital.com/video-se-dan-abogados-un-round-en-la-junta-local-de-conciliacion-y-arbitraje/,"Noticias de Chihuahua.- Ante el monumento a la Justicia, dos supuestos abogados llamados “coyotes” se dan un raud de dos de tres caídas, sin límite de tiempo. Al exterior de la  Junta Local de Conciliación y Arbitraje donde se imparte justicia, y promueven la paz social y armonía ocurre esto, convirtiendo el escenario en  el"
Lo torturan hasta el final y dejan su cuerpo en la carretera a Juárez,Iván C,"6 agosto, 2023",https://laparadadigital.com/lo-torturan-hasta-el-final-y-dejan-su-cuerpo-en-la-carretera-a-juarez/,"Noticias de Chihuahua.- Sujetos desconocidos abandonaron un vehículo Nissan Versa a un costado de la carretera de Chihuahua – Juárez, al llegar oficiales de la Guardia Nacional encontraron en los asientos traseros a un hombre encobijado y sin vida. Los hechos se registraron sobre el kilómetro 181, el hombre estaba en posición decúbito lateral con"
La hiere el tóxico con un cuchillo,Staff,"6 agosto, 2023",https://laparadadigital.com/la-hiere-el-toxico-con-un-cuchillo/,"Noticias de Chihuahua.- Con una herida en el antebrazo izquierdo resultó una mujer esta madrugada, al ser agredida por su pareja sentimental con un arma punzo cortante. La policía acudió a las 03:03 horas de hoy al kilómetro 31 de la carretera Chihuahua a Juárez, donde reportaban a una mujer herida. En el lugar estaba"
¡De Ripley! Se roban ‘la mamalona’ en la Delegación de Vialidad,Staff,"6 agosto, 2023",https://laparadadigital.com/de-ripley-se-roban-la-mamalona-en-la-delegacion-de-vialidad/,"Noticias de Chihuahua.- Mientras el director de la Policía Vial, César Komaba encabeza operativos para “cazar” a chihuahuenses que no traen seguro o licencia de conducir, en el estacionamiento de Vialidad, le roban frente a sus narices una unidad último modelo, de lujo, pick up Chevrolet roja de cuatro puertas. La unidad tipo civil, era"
Recorre Maru a la Corte por libros de texto,Staff,"6 agosto, 2023",https://laparadadigital.com/recorre-maru-a-la-corte-por-libros-de-texto/,"Noticias de Chihuahua.- La Gobernadora de Chihuahua, María Eugenia Campos, interpuso el pasado viernes, una controversia constitucional por el tema de los libros de texto gratuitos.  El recurso fue interpuesto ante la Suprema Corte de Justicia de la Nación, pero no se detalló el contenido del documento, solamente que fue recibido en la Oficialía de Partes. La controversia, sea cual sea"
Muere al chocar en su Tiida con el puente de la Juan Escutia,Staff,"5 agosto, 2023",https://laparadadigital.com/muere-al-chocar-en-su-tiida-con-el-puente-de-la-juan-escutia/,"Noticias de Chihuahua. -Un conductor falleció al chocar esta tarde contra el puente de las avenidas Juan Escutia y Tecnológico. La víctima quedó atrapada dentro del auto. Paramédicos de la Cruz Roja y bomberos intentaron rescatar a la víctima pero falleció. El auto que chocó es de la marca Nissan, línea Tiida, color blanco. La"
"Tras operativo en hotel Marrod, se llevan teléfonos y computadoras ajenas a investigación",Staff,"5 agosto, 2023",https://laparadadigital.com/tras-operativo-en-hotel-marrod-se-llevan-telefonos-y-computadoras-ajenas-a-investigacion/,"Noticias de Chihuahua.- Policías de la Fiscalía General del Estado hicieron un operativo en un hotel donde detuvieron a un hombre, pero antes de irse abrieron una camioneta ajena a la investigación y se llevaron decenas de teléfonos y computadores portátiles. La dueña de los aparatos de comunicación, llamó esta mañana al teléfono de emergencias"
Como chicle pegado al piso hallan a borrracho herido,Staff,"5 agosto, 2023",https://laparadadigital.com/como-chicle-pegado-al-piso-hallan-a-borrracho-herido/,"Noticias de Chihuahua.- Una vecina de la colonia Cerro de la Cruz llamó esta madrugada el número de emergencias para reportar que en plena calle estaba un hombre sangrando abundantemente. Los policías atendieron el llamado y acudieron a la prolongación de la avenida 20 de Noviembre, donde se encontraba el hombre herido. Los agentes vieron"
"VIDEO: Sorprenden a ladrón ‘enjaulado’, y este se cayó, y cayó. Así quedó",Staff,"5 agosto, 2023",https://laparadadigital.com/video-sorprenden-a-ladron-enjaulado-y-este-se-cayo-y-cayo-asi-quedo/,"Noticias de Chihuahua.- Un ladrón se cayó en repetidas ocasiones, provocándose daños internos y externos al verse sorprendido robando una vivienda. Según los vecinos de la colonia Urbi Villa del Prado, el delincuentes ya llevaba varios accesorios de una casa ubicada en la calle Peral de Chihuahua, pero era tanta su avaricia, que fue sorprendido."
Lo identifican tras hallazgo de cadáver; tenía 17 años,Staff,"5 agosto, 2023",https://laparadadigital.com/lo-identifican-tras-hallazgo-de-cadaver-tenia-17-anos/,"Noticias de Chihuahua.- El  cuerpo de un hombre localizado el pasado jueves en calles de la colonia Granjas del Valle fue identificada; se trata de un menor de edad que tenía desaparecido desde el 31 de Julio. Al momento del hallazgo, el cadáver presentaba signos de descomposición por lo que fue difícil saber sus generales."
Tremendo choque en la Nogales,Staff,"5 agosto, 2023",https://laparadadigital.com/tremendo-choque-en-la-nogales/,"Noticias de Chihuahua.- Un fuerte choque entre dos unidades motoras ocurrió al norte de la ciudad, donde solo se reportaron daños materiales. Los primeros informes indican que las unidades se trasladaron a la Avenida Nogales y Tecnológico. En el lugar, dos unidades habían colisionado, por lo que uniformados tomaron nota del mismo para deslindar responsabilidades."
Buscan Dana Sofía; desapareció,Staff,"5 agosto, 2023",https://laparadadigital.com/buscan-dana-sofia-desaparecio/,"Noticias de Chihuahua.- La fiscalía lanzó una pesquisa de la desaparición de una adolescente de 13 años de edad, quien fue vista por última vez ayer en esta ciudad. La menor ausente se llama Danna Sofía Rodríguez Orona, mide 1.74 metros de estatura, pesa 64 kilos, es de complexión delgada, tez blanca, ojos color verde"
Llueven plomazos en Satevó; matan a 2 mujeres,Staff,"5 agosto, 2023",https://laparadadigital.com/llueven-plomazos-en-satevo-matan-a-2-mujeres/,"Noticias de Chihuahua.- Una balacera ocurrió durante la madrugada de hoy en el municipio de Satevó que dejó un saldo preliminar de dos mujeres muertas. Los hechos ocurrieron en la carretera que comunica Valerio a San José del Sitio. Los cuerpos de las dos mujeres estaban en el asiento trasero de una troca Dodge, RAM,"
Se incendian 2 carros chatarras del tren,Staff,"4 agosto, 2023",https://laparadadigital.com/se-incendian-2-carros-chatarras-del-tren/,"Noticias de Chihuahua.- Dos carros del tren en desuso, se incendiaron en los patios de la estación del ferrocarril, en la colonia Industrial. Se desconoce cómo inició el fuego en los dos vagones. Al lugar llegaron elementos de bomberos y personal de la Policía Municipal, quienes cerraron el paso a los vehículos en la avenida"
Andaba dando vueltas por las Grutas,Staff,"4 agosto, 2023",https://laparadadigital.com/andaba-dando-vueltas-por-las-grutas/,"Noticias de Chihuahua.- Un vehículo fue a impactarse y volcar en la calle llamada Entrada a las Grutas de Nombre de Dios, ubicada cerca de la Vialidad Sacramento. Al lugar acudieron agentes viales, así como paramédicos de URGE que atendieron a dos personas heridas. Según los primeros informes, la unidad ere guiada sobre dicha calle,"
"Desaparición de poderes en NCG, ahora sí en la mesa: Congreso",Staff,"4 agosto, 2023",https://laparadadigital.com/desaparicion-de-poderes-en-ncg-ahora-si-en-la-mesa-congreso/,"Noticias de Chihuahua.- Tras las declaraciones de la gobernadora del Estado María Eugenia Campos sobre la posible desaparición de Poderes en Nuevo Casas Grandes, la presidenta del Congreso del Estado Adriana Terrazas dio hoy que “ahora sí pone el tema en la mesa”, al menos de manera informal. “Escuché las declaraciones que hizo la gobernadora"
Sufrió diputada abuso sexual infantil,Staff,"4 agosto, 2023",https://laparadadigital.com/sufrio-diputada-abuso-sexual-infantil/,"Noticias de Chihuahua.- Al señalar a los panistas de “mojigatos” al pretender que encerrando los nuevos libros de texto están protegiendo a los niños, la diputada representante del Partido del Trabajo Jael Argüelles confesó que fue víctima de abuso sexual cuando era niña. “Yo sufrí abuso sexual y era tan pequeña que ni siquiera soy"
Giró por los «cielos» hasta salir de la carretera a Juárez,Iván C,"4 agosto, 2023",https://laparadadigital.com/giro-por-los-cielos-hasta-salir-de-la-carretera-a-juarez/,"Noticias de Chihuahua.- Una volcadura con daños materiales totales y una persona lesionada de gravedad fue el resultado de un accidente automovilístico en la carretera de Villa Ahumada – Juárez. Fue en el kilómetro 285 de Chihuahua a Juárez donde se presentaron los hechos, la camioneta quedó con las llantas hacia arriba, y el conductor"
Propone diputado abastecer agua a ciudadanos desde presas federales,Staff,"4 agosto, 2023",https://laparadadigital.com/propone-diputado-abastecer-agua-a-ciudadanos-desde-presas-federales/,"Noticias de Chihuahua.- A fin de que las autoridades estatales y en materia de agua prioricen la construcción de obras para abastecer de agua a los chihuahuenses, el diputado de Morena Gustavo de la Rosa propuso hoy que se construyan acueductos e infraestructura hídrica en los municipios de la región centro sur del estado de"
"Mismos sicarios de la Campe y Villa Juárez, calibre coincide",Staff,"4 agosto, 2023",https://laparadadigital.com/mismos-sicarios-de-la-campe-y-villa-juarez-calibre-coincide/,"Noticias de Chihuahua.- El presidente municipal de Chihuahua Marco Bonilla dijo que se están realizando las investigaciones correspondientes sobre dos hechos violentos, ocurridos en las colonias Campesina y Villa Juárez, ya que podría tratarse de la misma célula delictiva. Dijo que las pruebas recabadas en la escena del asesinato de tres personas en un taller"
Caen asaltantes tras balacera y persecución en Cuauhtémoc,Staff,"4 agosto, 2023",https://laparadadigital.com/caen-asaltantes-tras-balacera-y-persecucion-en-cuauhtemoc/,"Noticias de Chihuahua.- Dos hombres acusados de asaltantes una tienda fueron detenidos por policías en Cuauhtémoc, luego de enfrentarse a tiros y perseguirlos. La Policía Municipal informó que ayer atendió un reporte de robo con violencia, a las 08:15 horas, en la avenida 16 de Septiembre y Miguel Alemán. Derivado de estos hechos, se logró"
Identifican a restaurantero ejecutado en su establecimiento del Lombardo Toledano,Iván C,"4 agosto, 2023",https://laparadadigital.com/identifican-a-restaurantero-ejecutado-en-su-establecimiento-del-lombardo-toledano/,"Noticias de Chihuahua.- Autoridades identificaron de manera extraoficial al propietario de la Parrillada Sinaloense que fue ejecutado la mañana de hoy viernes en dicho restaurante ubicado sobre el Lombardo Toledano. Fue poco antes de las 10 de la mañana cuando un sujeto ingresó al establecimiento y disparó en tres ocasiones en el rostro, con un"
EN VIVO: En pleno taco de barbacoa asesinan a hombre en la Parrilla Sinaloense,Iván C,"4 agosto, 2023",https://laparadadigital.com/en-pleno-taco-de-barbacoa-asesinan-a-hombre-en-la-parrilla-sinaloense/,"Noticias de Chihuahua. – Un hombre fue ejecutado en pleno restaurante denominado La Parrilla Sinaloense ubicado en el Lombardo Toledano al sur de la ciudad, un solitario pistolero ingreso al establecimiento y le disparo hasta dejarlo sin vida. Agentes de la Fiscalía General del Estado arribaron al lugar para tratar de auxiliar al lesionado, pero"
EN VIVO: Quedaron agentes sorprendidos tras reporte del ‘embolsado’,Iván C,"4 agosto, 2023",https://laparadadigital.com/en-vivo-reportaron-a-embolsado-en-la-deportistas-agentes-quedaron-sorprendidos/,"Noticias de Chihuahua.- Durante la media noche, vecinos de la colonia Deportistas reportaron a una persona envuelta en una bolsa de color negro, de la cual se desprendían olores fétidos en una calle de terracería. Elementos de la Guardia Nacional, Policía Municipal llegaron hasta casi el cruce con la Avenida Tecnológico y Homero donde localizaron"
